Ticker,Date/Time,Open,High,Low,Close,Volume,OpenInt,OpenInt
KPAS,8/24/2021 11:15:00,62.00,62.00,62.00,62.00,3100,-192200,-192200
KPIG,10/27/2022 09:00:00,83.00,84.00,83.00,83.00,378200,13682700,13682700
KPIG,10/27/2022 09:05:00,83.00,84.00,83.00,84.00,72400,-3420700,-3420700
KPIG,10/27/2022 09:10:00,84.00,84.00,83.00,84.00,96900,7905800,7905800
KPIG,10/27/2022 09:15:00,84.00,84.00,83.00,83.00,308900,-24803700,-24803700
KPIG,10/27/2022 09:20:00,84.00,84.00,83.00,84.00,26900,1424600,1424600
KPIG,10/27/2022 09:25:00,84.00,84.00,83.00,84.00,1433400,119553904,119553904
KPIG,10/27/2022 09:30:00,85.00,85.00,84.00,84.00,58600,4220500,4220500
KPIG,10/27/2022 09:35:00,84.00,84.00,84.00,84.00,594800,-49963200,-49963200
KPIG,10/27/2022 09:40:00,84.00,85.00,84.00,84.00,50700,-1622400,-1622400
KPIG,10/27/2022 09:45:00,85.00,85.00,84.00,85.00,15300,-575400,-575400
KPIG,10/27/2022 09:50:00,84.00,85.00,84.00,84.00,746100,-62368200,-62368200
KPIG,10/27/2022 09:55:00,84.00,84.00,83.00,83.00,791500,-65903800,-65903800
KPIG,10/27/2022 10:00:00,84.00,84.00,83.00,83.00,5900,462200,462200
KPIG,10/27/2022 10:05:00,83.00,83.00,83.00,83.00,5001300,-415107904,-415107904
KPIG,10/27/2022 10:10:00,83.00,84.00,83.00,84.00,4508600,-280130752,-280130752
KPIG,10/27/2022 10:15:00,83.00,84.00,83.00,84.00,267800,-8116900,-8116900
KPIG,10/27/2022 10:20:00,84.00,84.00,83.00,84.00,24100,1523400,1523400
KPIG,10/27/2022 10:25:00,84.00,84.00,84.00,84.00,11300,949200,949200
KPIG,10/27/2022 10:30:00,84.00,84.00,83.00,83.00,97400,-6397500,-6397500
KRAH,8/28/2020 10:05:00,436.00,436.00,436.00,436.00,100,43600,43600
KRAS,10/27/2022 09:00:00,374.00,376.00,372.00,376.00,263200,48594200,48594200
KRAS,10/27/2022 09:05:00,376.00,378.00,376.00,376.00,447200,-18704800,-18704800
KRAS,10/27/2022 09:10:00,378.00,378.00,376.00,376.00,247300,-46338600,-46338600
KRAS,10/27/2022 09:15:00,376.00,376.00,374.00,376.00,705000,-114270016,-114270016
KRAS,10/27/2022 09:20:00,376.00,378.00,376.00,376.00,479000,164913792,164913792
KRAS,10/27/2022 09:25:00,378.00,378.00,376.00,378.00,188000,58170600,58170600
KRAS,10/27/2022 09:30:00,378.00,378.00,376.00,378.00,141700,31545800,31545800
KRAS,10/27/2022 09:35:00,378.00,380.00,376.00,380.00,221800,-3832200,-3832200
KRAS,10/27/2022 09:40:00,380.00,380.00,378.00,378.00,38100,-151400,-151400
KRAS,10/27/2022 09:45:00,380.00,380.00,378.00,378.00,26000,-1338400,-1338400
KRAS,10/27/2022 09:50:00,378.00,378.00,376.00,378.00,362200,-114974200,-114974200
KRAS,10/27/2022 09:55:00,378.00,378.00,376.00,378.00,520400,89701200,89701200
